Name	Set	ImageFile	Fuerza	Coste	Raza	Tipo	Frecuencia	Habilidad
Caleuche	ElReto	ERT-028-126-Caleuche	--	3	--	Talisman	Cortesano	Las cartas del oponente no pueden bloquear en este turno.
Tagaro y Suque	ElReto	ERT-029-126-TagaroySuque	1	3	--	Aliado	Vasallo	--
Los Titanes	ElReto	ERT-030-126-LosTitanes	5	8	--	Aliado	Vasallo	--
Huitzilopochtli	ElReto	ERT-031-126-Huitzilopochtli	--	1	--	Talisman	Cortesano	Un aliado gana +3 a la fuerza hasta el final del turno.
Gargola	ElReto	ERT-032-126-Gargola	1	2	--	Aliado	Vasallo	--
Joyas de la Corona	ElReto	ERT-033-126-JoyasdelaCorona	--	--	--	Oro	Oro	--
Unicornio	ElReto	ERT-034-126-Unicornio	1	1	--	Aliado	Cortesano	Al sacrificarlo genera un oro en el turno.
Pajaro de Trueno	ElReto	ERT-035-126-PajarodeTrueno	1	1	--	Aliado	Vasallo	--
Perseo	ElReto	ERT-036-126-Perseo	2	4	--	Aliado	Cortesano	Si Perseo esta en juego, Medusas y Sirenas de tu oponente, pierden su habilidad.
Sirenas	ElReto	ERT-037-126-Sirenas	1	3	--	Aliado	Cortesano	Bota dos cartas de tu castillo, y una carta de tu oponente no puede atacar o bloquear en este turno.
Satiro	ElReto	ERT-038-126-Satiro	1	2	--	Aliado	Vasallo	--
Final del Arcoiris	ElReto	ERT-039-126-FinaldelArcoiris	--	--	--	Oro	Oro	--
Hefesto	ElReto	ERT-040-126-Hefesto	--	3	--	Talisman	Cortesano	Un Aliado en batalla mitologica gana +1 de fuerza permanentemente.
Sko' Yo	ElReto	ERT-041-126-Sko'Yo	1	3	--	Aliado	Vasallo	--
Lothar	ElReto	ERT-042-126-Lothar	--	3	--	Talisman	Cortesano	Las cartas de aliados destruidos en este turno vuelven al juego (a la linea de defensa).
Atlas	ElReto	ERT-043-126-Atlas	2	2	--	Aliado	Vasallo	Atlas solo puede bloquear; para destruirlo es necesario doblar su fuerza.
Khnum	ElReto	ERT-044-126-Khnum	2	3	--	Aliado	Vasallo	--
Armadura Dorada	ElReto	ERT-045-126-ArmaduraDorada	--	--	--	Oro	Oro	--
Cancerbero	ElReto	ERT-046-126-Cancerbero	--	1	--	Talisman	Cortesano	Destruye un aliado en juego y puedes buscar 2 cartas de oro en tu castillo.
Thor	ElReto	ERT-047-126-Thor	8	8	--	Aliado	Vasallo	--
Manuk	ElReto	ERT-048-126-Manuk	4	2	--	Aliado	Vasallo	Cada turno pierde un punto de fuerza.
Kornos	ElReto	ERT-049-126-Kornos	1	3	--	Aliado	Cortesano	Solo puede ser bloqueada por caballeros.
Rosa de los Vientos	ElReto	ERT-050-126-RosadelosVientos	--	--	--	Oro	Oro	--
Sisiutil	ElReto	ERT-051-126-Sisiutil	1	3	--	Aliado	Vasallo	--
Hombre de Piedra	ElReto	ERT-052-126-HombredePiedra	1	3	--	Aliado	Vasallo	--
Baal	ElReto	ERT-053-126-Baal	--	1	--	Talisman	Vasallo	Baal te permite robar una nueva carta.
Bunyip	ElReto	ERT-054-126-Bunyip	4	4	--	Aliado	Cortesano	Cuando entra en juego destruye uno de tus aliados.
Dragon Medieval	ElReto	ERT-055-126-DragonMedieval	6	8	--	Aliado	Real	Este dragon no puede ser bloqueado.
Gilgamesh	ElReto	ERT-056-126-Gilgamesh	2	3	--	Aliado	Vasallo	--
Gigante Andino	ElReto	ERT-057-126-GiganteAndino	3	4	--	Aliado	Vasallo	--
Ninfas	ElReto	ERT-058-126-Ninfas	1	1	--	Aliado	Cortesano	Al jugarla, puedes buscar otra carta de Ninfas en tu castillo y ponerla en tu mano.
Ave Fenix	ElReto	ERT-059-126-AveFenix	2	3	--	Aliado	Vasallo	--
Caliz Sagrado	ElReto	ERT-060-126-CalizSagrado	--	--	--	Oro	Oro	--
Oannes	ElReto	ERT-061-126-Oannes	1	4	--	Aliado	Vasallo	Al jugarlo puedes robar una carta.
Tentenvilu-Coicoivilu	ElReto	ERT-062-126-Tentenvilu-Coicoivilu	1	1	--	Aliado	Vasallo	--
Amazonas	ElReto	ERT-063-126-Amazonas	2	2	--	Aliado	Real	Si hay cartas de Amazonas en juego su valor se reduce a "0".
Hadas	ElReto	ERT-064-126-Hadas	1	2	--	Aliado	Vasallo	--
Ciclope	ElReto	ERT-065-126-Ciclope	--	3	--	Talisman	Cortesano	Bota al azar dos cartas de la mano de tu oponente.
Monedas de Oro	ElReto	ERT-066-126-MonedasdeOro	--	--	--	Oro	Oro	--
Anubis	ElReto	ERT-067-126-Anubis	0	2	--	Aliado	Vasallo	Destruye a Anubis y regresa una carta de tu cementerio a la linea de defensa (carta unica).
Hombre Lobo	ElReto	ERT-068-126-HombreLobo	1	2	--	Aliado	Vasallo	--
Fenrir	ElReto	ERT-069-126-Fenrir	4	2	Licantropo	Aliado	Cortesano	Si ataca debe ser acompanado por dos aliados.
Kali	ElReto	ERT-070-126-Kali	1	3	--	Aliado	Vasallo	--
Marduk	ElReto	ERT-071-126-Marduk	3	4	--	Aliado	Cortesano	Si hay algun dragon en juego, gana +3 a la fuerza.
Lilith	ElReto	ERT-072-126-Lilith	2	4	--	Aliado	Vasallo	--
Diamante Turquesa	ElReto	ERT-073-126-DiamanteTurquesa	--	--	--	Oro	Oro	--
Viracocha	ElReto	ERT-074-126-Viracocha	--	1	--	Talisman	Cortesano	Al jugarla, una carta oponente no puede atacar o bloquear.
Osiris	ElReto	ERT-075-126-Osiris	3	5	--	Aliado	Vasallo	--
Medusa	ElReto	ERT-076-126-Medusa	1	4	--	Aliado	Real	Paga 3 de oro, y una carta oponente no puede atacar en este turno.
Nibelungos	ElReto	ERT-077-126-Nibelungos	2	4	--	Aliado	Vasallo	--
Anchimallen	ElReto	ERT-078-126-Anchimallen	--	2	--	Talisman	Cortesano	Envia al cementerio una carta al azar de la mano de tu oponente.
Estatua de Oro	ElReto	ERT-079-126-EstatuadeOro	--	--	--	Oro	Oro	--
Ymir	ElReto	ERT-080-126-Ymir	--	3	--	Talisman	Vasallo	Los aliados del oponente no pueden atacar en este turno.
Hadas Guerreras	ElReto	ERT-081-126-HadasGuerreras	1	1	--	Aliado	Vasallo	--
Loki	ElReto	ERT-082-126-Loki	--	1	--	Talisman	Vasallo	Puedes ver al azar una carta de tu oponente.
Icaro	ElReto	ERT-083-126-Icaro	--	0	--	Talisman	Vasallo	Puedes robar una carta de tu castillo.
Duende	ElReto	ERT-084-126-Duende	1	3	--	Aliado	Vasallo	--
Xolotl	ElReto	ERT-085-126-Xolotl	--	4	--	Talisman	Cortesano	Destruye todas las cartas oponentes de fuerza superior a 3.
Barbaro	ElReto	ERT-086-126-Barbaro	3	5	--	Aliado	Vasallo	--
Vishnu	ElReto	ERT-087-126-Vishnu	--	3	--	Talisman	Vasallo	Destruye un oro de tu oponente.
Isis	ElReto	ERT-088-126-Isis	1	1	--	Aliado	Vasallo	--
La Quimera	ElReto	ERT-089-126-LaQuimera	1	1	--	Aliado	Vasallo	Mira las tres cartas superiores de tu castillo y devuelvelas en el mismo orden.
Gnomo	ElReto	ERT-090-126-Gnomo	1	2	--	Aliado	Vasallo	--
Pan-Gu	ElReto	ERT-091-126-Pan-Gu	--	3	--	Talisman	Vasallo	Busca una carta "Talisman" en tu cementerio y ponla en tu mano.
Beowulf	ElReto	ERT-092-126-Beowulf	1	1	--	Aliado	Vasallo	--
Portal Celestial	ElReto	ERT-093-126-PortalCelestial	--	--	--	Oro	Oro	--
Aquiles	ElReto	ERT-094-126-Aquiles	--	2	--	Talisman	Vasallo	Un aliado defensor gana +3 a la fuerza hasta el final del turno.
El Basajaun	ElReto	ERT-095-126-ElBasajaun	2	3	--	Aliado	Cortesano	Si ataca debe ser bloqueado.
Caballero Blanco	ElReto	ERT-096-126-CaballeroBlanco	1	1	--	Aliado	Vasallo	--
Invunche	ElReto	ERT-097-126-Invunche	--	2	--	Talisman	Cortesano	Las cartas oponentes pierden un punto de fuerza en este turno.
Vikingo	ElReto	ERT-098-126-Vikingo	3	3	--	Aliado	Vasallo	--
Serpiente Emplumada	ElReto	ERT-099-126-SerpienteEmplumada	1	1	--	Aliado	Cortesano	La Serpiente Emplumada no puede ser bloqueada.
Esfinge	ElReto	ERT-100-126-Esfinge	4	2	--	Aliado	Vasallo	La Esfinge no puede atacar, solo defender.
Jinas	ElReto	ERT-101-126-Jinas	--	3	--	Talisman	Cortesano	Mira las 6 cartas superiores de tu castillo y ordenalas como quieras.
Kordrag	ElReto	ERT-102-126-Kordrag	4	4	--	Aliado	Real	Todos tus aliados se consideran caballeros cuando Kordrag esta en juego.
Arpia	ElReto	ERT-103-126-Arpia	--	2	--	Talisman	Cortesano	Dos cartas oponentes pierden un punto de fuerza por este turno.
Hydra	ElReto	ERT-104-126-Hydra	2	3	--	Aliado	Vasallo	--
Kel-Essuf	ElReto	ERT-105-126-Kel-Essuf	2	4	--	Aliado	Vasallo	--
Hercules	ElReto	ERT-106-126-Hercules	--	5	--	Talisman	Cortesano	Un aliado en batalla gana +1 de fuerza permanentemente.
Caballero Negro	ElReto	ERT-107-126-CaballeroNegro	2	2	--	Aliado	Real	Al entrar en juego, todos los demas caballeros ganan +1 de fuerza permanentemente.
Chon-Chon	ElReto	ERT-108-126-Chon-Chon	--	2	--	Talisman	Cortesano	El oponente bota dos cartas de su castillo.
Vampiro Oriental	ElReto	ERT-109-126-VampiroOriental	--	1	--	Talisman	Vasallo	Roba dos cartas y bota una de tu mano.
Pincoya	ElReto	ERT-110-126-Pincoya	--	2	--	Talisman	Cortesano	Un aliado en juego gana +1 de fuerza permanentemente.
Minas del Rey Salomon	ElReto	ERT-111-126-MinasdelReySalomon	--	--	--	Oro	Oro	--
Bruja Carabusse	ElReto	ERT-112-126-BrujaCarabusse	--	1	--	Talisman	Cortesano	Una carta oponente no puede bloquear en este turno.
Haiwatha	ElReto	ERT-113-126-Haiwatha	--	2	--	Talisman	Vasallo	Devuelve una carta del cementerio a tu mano.
Zeus	ElReto	ERT-114-126-Zeus	--	3	--	Talisman	Real	Zeus te permite robar 6 cartas de tu mazo castillo.
Poseidon	ElReto	ERT-115-126-Poseidon	--	2	--	Talisman	Vasallo	Mira la carta superior del mazo de tu oponente.
Minotauro	ElReto	ERT-116-126-Minotauro	2	3	--	Aliado	Vasallo	--
Cizin	ElReto	ERT-117-126-Cizin	0	5	--	Aliado	Real	Tiene fuerza igual al número de cartas "oro" que tengas en juego.
Merlin	ElReto	ERT-118-126-Merlin	--	4	--	Talisman	Real	Busca una carta de Caballero en tu castillo y ponla en juego.
Melusina	ElReto	ERT-119-126-Melusina	2	4	--	Aliado	Vasallo	--
Berserker	ElReto	ERT-120-126-Berserker	2	3	--	Aliado	Vasallo	Berserker no puede ser bloqueado.
Hades	ElReto	ERT-121-126-Hades	--	2	--	Talisman	Cortesano	Elige una carta de aliado en juego y cambiala por una de tu oponente (solo por el juego).
Cuerno de la Abundancia	ElReto	ERT-122-126-CuernodelaAbundancia	--	--	--	Oro	Oro	--
Brujo Chilote	ElReto	ERT-123-126-BrujoChilote	1	3	--	Aliado	Vasallo	--
Zusano	ElReto	ERT-124-126-Zusano	2	5	--	Aliado	Vasallo	--
Eshu	ElReto	ERT-125-126-Eshu	1	2	--	Aliado	Vasallo	--
El Alicanto	ElReto	ERT-126-126-ElAlicanto	1	3	--	Aliado	Vasallo	--
Mithra	ElRetoX	ERX-127-174-Mithra	3	0	--	Aliado	Cortesano	Para entrar en juego destruye dos de tus oros en mesa.
Shiva	ElRetoX	ERX-128-174-Shiva	1	2	--	Aliado	Vasallo	--
Maui	ElRetoX	ERX-129-174-Maui	4	6	--	Aliado	Vasallo	--
Hermes	ElRetoX	ERX-130-174-Hermes	2	3	--	Aliado	Cortesano	Si tu oponente bloquea, tu eliges quien bloquea a Hermes.
Indra	ElRetoX	ERX-131-174-Indra	--	2	--	Talisman	Vasallo	Mira la mano de tu oponente, puedes descartarle una carta de oro.
Isthar	ElRetoX	ERX-132-174-Isthar	3	3	--	Aliado	Cortesano	Despues de atacar, si no es destruido, es devuelto a la mano.
Izanamie Izanagi	ElRetoX	ERX-133-174-IzanamieIzanagi	--	3	--	Talisman	Vasallo	Puedes buscar una carta de Dragon en tu castillo y ponerla en tu mano.
Apolo	ElRetoX	ERX-134-174-Apolo	--	2	--	Talisman	Cortesano	Una carta en juego pierde todas sus habilidades por este turno.
Tlaloc	ElRetoX	ERX-135-174-Tlaloc	3	4	--	Aliado	Vasallo	--
Krishna	ElRetoX	ERX-136-174-Krishna	3	2	--	Aliado	Cortesano	Al entrar en juego, descartas la carta superior de tu castillo.
Odiseo	ElRetoX	ERX-137-174-Odiseo	1	2	--	Aliado	Real	Al jugarlo, gana +1 a la fuerza: si tienes dos o mas Odiseo en juego, son imbloqueables.
Kasewats	ElRetoX	ERX-138-174-Kasewats	2	2	--	Aliado	Vasallo	Debe atacar todos los turnos.
Sir Galahad	ElRetoX	ERX-139-174-SirGalahad	2	3	--	Aliado	Vasallo	Si se considera caballero gana +1 a la fuerza.
Caballo de Troya	ElRetoX	ERX-140-174-CaballodeTroya	--	4	--	Talisman	Cortesano	Nombra una carta de tu oponente en linea de defensa o ataque; este no puede jugar mas copias de esa carta.
Sigurd	ElRetoX	ERX-141-174-Sigurd	1	2	--	Aliado	Real	Si es destruido por una carta oponente, esta es tambien destruida.
Rey Midas	ElRetoX	ERX-142-174-ReyMidas	3	4	--	Aliado	Cortesano	Cuando entra en juego, ganas uno de oro por el turno.
Orejona	ElRetoX	ERX-143-174-Orejona	--	4	--	Talisman	Cortesano	Los oros de tu oponente no pueden ser reagrupados el siguiente turno.
Mimi	ElRetoX	ERX-144-174-Mimi	1	2	--	Aliado	Vasallo	--
Yggdrasil	ElRetoX	ERX-145-174-Yggdrasil	--	5	--	Talisman	Cortesano	Elige las cinco cartas superiores de tu cementerio y barajalas con tu castillo.
Quetzalcoatl	ElRetoX	ERX-146-174-Quetzalcoatl	--	1	--	Talisman	Vasallo	Una carta imbloqueable puede ser bloqueada en este turno.
Dragon Oriental	ElRetoX	ERX-147-174-DragonOriental	6	6	--	Aliado	Real	Puede bloquear cartas imbloqueables.
Humbaba	ElRetoX	ERX-148-174-Humbaba	2	3	--	Aliado	Cortesano	Si es destruido, devuelve una carta de oro de tu oponente a su mano.
Kelpie	ElRetoX	ERX-149-174-Kelpie	--	1	--	Talisman	Vasallo	Un vampiro gana +3 por este turno.
Haiit	ElRetoX	ERX-150-174-Haiit	--	1	--	Talisman	Vasallo	Otorga dos oros por el turno.
Kraken	ElRetoX	ERX-151-174-Kraken	4	5	--	Aliado	Vasallo	Si ataca, gana +1 a la fuerza por el turno.
Matador de Dragones	ElRetoX	ERX-152-174-MatadordeDragones	--	2	--	Talisman	Cortesano	Puedes buscar un dragon en el castillo de tu oponente y descartarlo al cementerio.
Hombre Pajaro	ElRetoX	ERX-153-174-HombrePajaro	1	3	--	Aliado	Vasallo	Cuando entra en juego, cada jugador muestra su mano y descarta un talisman si tiene alguno.
Rey Arturo	ElRetoX	ERX-154-174-ReyArturo	4	4	--	Aliado	Real	Cuando ataca, todos los caballeros que lo acompanen ganan +1 de fuerza por el turno.
Hunahpu y Xbalanque	ElRetoX	ERX-155-174-HunahpuyXbalanque	1	2	--	Aliado	Vasallo	--
Guillermo Tell	ElRetoX	ERX-156-174-GuillermoTell	--	2	--	Talisman	Vasallo	Nombra una carta por su nombre especifico. Tu oponente muestra la mano si la tiene, descartale esa carta.
Balder	ElRetoX	ERX-157-174-Balder	2	4	--	Aliado	Vasallo	Si es destruido, devuelvelo a tu mano.
Sir Gawain	ElRetoX	ERX-158-174-SirGawain	3	4	--	Aliado	Vasallo	--
Hada Viviana	ElRetoX	ERX-159-174-HadaViviana	--	3	--	Talisman	Vasallo	Tu oponente no roba en el proximo turno.
Sedna	ElRetoX	ERX-160-174-Sedna	2	3	--	Aliado	Vasallo	--
Caja de Pandora	ElRetoX	ERX-161-174-CajadePandora	--	3	--	Talisman	Real	Cada jugador muestra la carta superior de su castillo. Si es un aliado, es puesto en juego, si no, la carta es descartada.
Walkirias	ElRetoX	ERX-162-174-Walkirias	--	0	--	Talisman	Real	Puedes jugarla en cualquier momento del juego. Anula una carta jugada por tu oponente enviandola al cementerio (Carta unica).
Afrodita	ElRetoX	ERX-163-174-Afrodita	--	2	--	Talisman	Vasallo	Mira las tres cartas superiores del castillo oponente y ordenalas como quieras.
Fu Hi	ElRetoX	ERX-164-174-FuHi	--	1	--	Talisman	Vasallo	Una carta atacante no hace dano en este turno.
Millalobo	ElRetoX	ERX-165-174-Millalobo	1	2	--	Aliado	Vasallo	--
Nugua	ElRetoX	ERX-166-174-Nugua	1	2	--	Aliado	Vasallo	--
Cernunno	ElRetoX	ERX-167-174-Cernunno	1	1	--	Aliado	Vasallo	--
Horus	ElRetoX	ERX-168-174-Horus	--	3	--	Talisman	Vasallo	Elige un aliado en juego de tu oponente y este lo debe barajar en su castillo.
Dagon	ElRetoX	ERX-169-174-Dagon	3	2	--	Aliado	Cortesano	Cuando entra en juego, debes mostrar tu mano a tu oponente.
Conejo Escriba	ElRetoX	ERX-170-174-ConejoEscriba	--	6	--	Talisman	Vasallo	Por el resto del juego, tu oponente juega con la mano descubierta.
Goblins	ElRetoX	ERX-171-174-Goblins	1	2	--	Aliado	Vasallo	Si un aliado oponente lo bloquea, este pierde 1 de fuerza por el turno.
Wondjinas	ElRetoX	ERX-172-174-Wondjinas	--	3	--	Talisman	Vasallo	Por este turno todas las cartas en juego cambian su fuerza por valor en oro.
Pixies	ElRetoX	ERX-173-174-Pixies	--	3	--	Talisman	Vasallo	Por este turno tu oponente no puede utilizar su oro.
Narciso	ElRetoX	ERX-174-174-Narciso	3	2	--	Aliado	Vasallo	Solo puede atacar si tu oponente tiene menos cartas en su mano que tu.
Pozo del Juramento	MundoGotico	MGO-001-126-PozodelJuramento	--	4	--	Talisman	Cortesano	Destruye un aliado oponente que este atacando.
Hombre de Poca Fe	MundoGotico	MGO-002-126-HombredePocaFe	--	3	--	Talisman	Cortesano	Destruye un aliado defensor de tu oponente a tu eleccion.
Dominacion	MundoGotico	MGO-003-126-Dominacion	--	3	--	Talisman	Cortesano	Un aliado oponente que elijas no puede atacar el proximo turno.
Cremacion	MundoGotico	MGO-004-126-Cremacion	--	4	--	Talisman	Real	Destruye todos los vampiros en juego.
Vigilia de Armas	MundoGotico	MGO-005-126-VigiliadeArmas	--	2	--	Talisman	Cortesano	Al jugarla no se pueden jugar nuevos talismanes o habilidades de carta en el turno.
Prueba de Fuego	MundoGotico	MGO-006-126-PruebadeFuego	--	2	--	Talisman	Cortesano	Destruye un vampiro en juego.
Marcas de Guerra	MundoGotico	MGO-007-126-MarcasdeGuerra	--	2	--	Talisman	Vasallo	Todos los jugadores descartan una carta de su mano al azar.
Lucha de Golems	MundoGotico	MGO-008-126-LuchadeGolems	--	1	--	Talisman	Cortesano	Durante el resto del juego, los contendores no pueden jugar con el cementerio.
Licantropia	MundoGotico	MGO-009-126-Licantropia	--	2	--	Talisman	Cortesano	Un aliado en juego que elijas cambia su fuerza por su valor permanentemente.
Ofuscacion	MundoGotico	MGO-010-126-Ofuscacion	--	3	--	Talisman	Vasallo	Todos los aliados oponentes deben atacar el proximo turno.
Arlequin	MundoGotico	MGO-011-126-Arlequin	--	3	--	Talisman	Real	Tu oponente descarta igual numero de cartas al dano recibido en tu castillo (carta unica).
Oraculo Zingaro	MundoGotico	MGO-012-126-OraculoZingaro	--	1	--	Talisman	Real	Todas tus cartas de oro generan el doble de oro por un turno (carta unica).
Mordida	MundoGotico	MGO-013-126-Mordida	--	1	--	Talisman	Vasallo	Un vampiro oponente no hace dano al atacar en este turno.
Luna Llena	MundoGotico	MGO-014-126-LunaLlena	--	3	--	Talisman	Cortesano	Los Licantropos ganan +1 de fuerza por este turno.
Custodio	MundoGotico	MGO-015-126-Custodio	--	2	--	Talisman	Vasallo	Los vampiros no hacen dano en este turno.
Estigma	MundoGotico	MGO-016-126-Estigma	--	2	--	Talisman	Cortesano	Un aliado oponente vuelve a la linea de defensa.
Stribog	MundoGotico	MGO-017-126-Stribog	--	5	--	Talisman	Real	Son destruidos todos los aliados en juego de los jugadores que participan.
Daimon	MundoGotico	MGO-018-126-Daimon	--	3	--	Talisman	Vasallo	Un aliado duplica su fuerza y al final del turno debe ser destruido.
Mascara de Jade	MundoGotico	MGO-019-126-MascaradeJade	--	3	--	Talisman	Real	Tu oponente descarta 3 cartas de su castillo.
Mascara de Oro	MundoGotico	MGO-020-126-MascaradeOro	--	3	--	Talisman	Cortesano	Despues de atacar, tus aliados vuelven a la linea de defensa.
Eclipse de Dragon	MundoGotico	MGO-021-126-EclipsedeDragon	--	3	--	Talisman	Cortesano	Tu oponente no puede jugar con su cementerio el resto del juego.
Dama de Hierro	MundoGotico	MGO-022-126-DamadeHierro	--	6	--	Talisman	Vasallo	Destruye dos cartas de Oro de tu oponente.
Justos por Pecadores	MundoGotico	MGO-023-126-JustosporPecadores	--	4	--	Talisman	Cortesano	Destruye un aliado en juego y no puedes ser atacado el proximo turno.
Incubo	MundoGotico	MGO-024-126-Incubo	--	2	--	Talisman	Vasallo	Destruye una carta de oro que controles y roba una carta de tu mazo.
Amanecer	MundoGotico	MGO-025-126-Amanecer	--	5	--	Talisman	Real	Baraja tu mano con tu mazo y roba la misma cantidad de cartas que tenias en la mano.
Presencia Maligna	MundoGotico	MGO-026-126-PresenciaMaligna	--	4	--	Talisman	Cortesano	Mira la mano de tu oponente y este se descarta de todos los talismanes que tenga.
Tragedia	MundoGotico	MGO-027-126-Tragedia	--	0	--	Talisman	Vasallo	Descarta una carta de tu mano y mira la mano de tu oponente.
Tumba del Caballero	MundoGotico	MGO-028-126-TumbadelCaballero	--	4	--	Talisman	Real	Al final de tu turno puedes robar mas de una carta: si lo haces, te descartas de tantas cartas como hubieses robado de mas.
Rappagan-Mekabk	MundoGotico	MGO-029-126-Rappagan-Mekabk	--	5	--	Talisman	Real	Busca una carta de aliado en el mazo de tu oponente y ponla bajo tu control solo por el juego.
Juego Eterno	MundoGotico	MGO-030-126-JuegoEterno	--	2	--	Talisman	Vasallo	Destruye un arma o totem en juego.
Yelmo	MundoGotico	MGO-031-126-Yelmo	--	2	--	Arma	Cortesano	Su portador se considera imbloqueable.
Escudo Hiperboreo	MundoGotico	MGO-032-126-EscudoHiperboreo	--	2	--	Arma	Cortesano	Su portador, si no es destruido despues de atacar, vuelve a la linea de defensa.
Guadana	MundoGotico	MGO-033-126-Guadana	--	2	--	Arma	Vasallo	Su portador gana +3 a la fuerza. Si ataca es destruido al final del turno.
Hacha de Enoch	MundoGotico	MGO-034-126-HachadeEnoch	--	2	--	Arma	Vasallo	Si su portador es destruido, es barajado en su mazo y el arma destruida.
Guantelete	MundoGotico	MGO-035-126-Guantelete	--	2	--	Arma	Cortesano	El portador intercambia fuerza por su coste de Oro.
Ballesta	MundoGotico	MGO-036-126-Ballesta	--	2	--	Arma	Vasallo	Su portador no puede atacar o bloquear.
Espada Envenenada	MundoGotico	MGO-037-126-EspadaEnvenenada	--	2	--	Arma	Vasallo	Si el portador ataca es destruido al final del turno.
Anima Negra	MundoGotico	MGO-038-126-AnimaNegra	--	2	--	Arma	Vasallo	Su portador gana +1 de fuerza por cada carta en la mano de tu oponente.
Dagas Krish	MundoGotico	MGO-039-126-DagasKrish	--	2	--	Arma	Vasallo	Su portador se considera un vampiro.
Martillo y Estacas	MundoGotico	MGO-040-126-MartilloyEstacas	--	2	--	Arma	Vasallo	Su portador no puede ser bloqueado por vampiros.
Totem de la Fecundidad	MundoGotico	MGO-041-126-TotemdelaFecundidad	--	2	--	Totem	Cortesano	Cada jugador roba una carta extra en su turno.
Totem del Vacio	MundoGotico	MGO-042-126-TotemdelVacio	--	3	--	Totem	Cortesano	Los jugadores solo pueden jugar un talisman cada turno.
Totem de Sangre	MundoGotico	MGO-043-126-TotemdeSangre	--	3	--	Totem	Vasallo	Paga un oro y un vampiro de tu oponente no puede atacar en su turno.
Totem de la Iluminacion	MundoGotico	MGO-044-126-TotemdelaIluminacion	--	4	--	Totem	Vasallo	Paga dos oros y destruye un totem oponente (una vez por turno).
Totem del Genesis	MundoGotico	MGO-045-126-TotemdelGenesis	--	4	--	Totem	Vasallo	Paga 3 oros y tu oponente devuelve una carta que tenga en juego que tu elijas a su mano (una vez por turno).
